	A	B	C	D	E	F	G	H	
○上	#AB8810	#5BAF23	#6091B9	#7382C5	#8E7D9D	#929292	#767676	#4D4D4D	
○中	#FFE766	#BCFF9E	#AFEFF9	#D1DFFA	#DED7FF	#B9B7B8	#959595	#5E5E5E	
○中	#FFE766	#BCFF9E	#AFEFF9	#D1DFFA	#DED7FF	#B9B7B8	#959595	#5E5E5E	
○下	#B09315	#62B42C	#6297B7	#758ED0	#9384A5	#969696	#757575	#4D4D4D	

○中	#FFE766	#BCFF9E	#AFEFF9	#D1DFFA	#DED7FF	#B9B7B8	#959595	#5E5E5E	
○中	#FFE766	#BCFF9E	#AFEFF9	#D1DFFA	#DED7FF	#B9B7B8	#959595	#5E5E5E	
○中	#FFE766	#BCFF9E	#AFEFF9	#D1DFFA	#DED7FF	#B9B7B8	#959595	#5E5E5E	
○中	#FFE766	#BCFF9E	#AFEFF9	#D1DFFA	#DED7FF	#B9B7B8	#959595	#5E5E5E	

文字上	#6A4A00	#3A8D1B	#1D5167	#3E4F83	#503D51	#535353	#4D4D4D	#292929	
文字中	#8D7400	#499C26	#3E8599	#5173B2	#767092	#464646	#363636	#212121	
文字中	#8D7400	#499C26	#3E8599	#5173B2	#767092	#464646	#363636	#212121	
文字下	#574507	#105400	#064661	#1D3B71	#3B3251	#323232	#222222	#161616	
